number;time;date;hour;minutes;seconds;delay;speedKmh;throttle;brake;clutch;gear;FLwheelSlip;FRwheelSlip;RLwheelSlip;RRwheelSlip
0;1749238154.4518964;2025-06-06;21;29;14;None;0.0003022339369636029;0.46908602118492126;0.0;0.0;2;0.07274163514375687;0.07534955441951752;0.05137016624212265;0.04880858212709427
1;1749238154.6929376;2025-06-06;21;29;14;0.2410411834716797;0.0003021473530679941;0.4722042977809906;0.0;0.0;2;0.07274451106786728;0.07534686475992203;0.051371876150369644;0.04880224168300629
2;1749238154.9334805;2025-06-06;21;29;14;0.24054288864135742;6.210199356079102;0.6562903523445129;0.0;1.0;2;0.04722830280661583;0.04411785677075386;6.97673225402832;6.972858428955078
3;1749238155.1690214;2025-06-06;21;29;15;0.23554086685180664;14.626824378967285;0.6163978576660156;0.0;1.0;2;0.0617397204041481;0.060394588857889175;5.769934177398682;5.758920669555664
4;1749238155.4045627;2025-06-06;21;29;15;0.23554134368896484;23.46918296813965;0.665752649307251;0.0;1.0;2;0.05958704650402069;0.06001151353120804;2.0857386589050293;2.0730276107788086
5;1749238155.645105;2025-06-06;21;29;15;0.24054217338562012;29.46976089477539;0.7844085693359375;0.0;1.0;2;0.06000843271613121;0.05711763724684715;0.21216930449008942;0.2137383371591568
6;1749238155.8861475;2025-06-06;21;29;15;0.2410426139831543;36.101806640625;0.981827974319458;0.0;1.0;2;0.06112223491072655;0.05992458015680313;0.3349483609199524;0.3349166512489319
7;1749238156.1266894;2025-06-06;21;29;16;0.24054193496704102;44.32170867919922;1.0;0.0;1.0;2;0.06285762041807175;0.05805341526865959;0.4157174825668335;0.4196321964263916
8;1749238156.3622305;2025-06-06;21;29;16;0.23554110527038574;52.72453689575195;1.0;0.0;1.0;2;0.061058562248945236;0.059509970247745514;0.5115309953689575;0.5141695141792297
9;1749238156.5977721;2025-06-06;21;29;16;0.23554158210754395;61.96430969238281;1.0;0.0;1.0;2;0.06295930594205856;0.0632096529006958;0.628100574016571;0.6291230916976929
10;1749238156.8383148;2025-06-06;21;29;16;0.24054265022277832;72.04774475097656;1.0;0.0;1.0;2;0.059774842113256454;0.05863890424370766;0.7709579467773438;0.77858567237854
11;1749238157.0793562;2025-06-06;21;29;17;0.2410414218902588;82.34564208984375;1.0;0.0;1.0;2;0.06854800879955292;0.049478836357593536;0.8343517780303955;0.8424780964851379
12;1749238157.3148983;2025-06-06;21;29;17;0.23554205894470215;92.77169799804688;1.0;0.0;1.0;2;0.06736810505390167;0.05184546113014221;0.5055025815963745;0.511458158493042
13;1749238157.5504394;2025-06-06;21;29;17;0.23554110527038574;98.05960083007812;1.0;0.0;1.0;3;0.06972470134496689;0.05031004920601845;1.1611824035644531;1.1613069772720337
