number;time;date;hour;minutes;seconds;delay;currentTime;speedKmh;throttle;brake;clutch;gear;FLwheelSlip;FRwheelSlip;RLwheelSlip;RRwheelSlip
0;1749246587.2615652;2025-06-06;23;49;47;None;0:00:006;0.00028214792837388813;0.5670430064201355;0.0;0.0;2;0.07381512224674225;0.07614293694496155;0.051980290561914444;0.049456678330898285
1;1749246587.4020898;2025-06-06;23;49;47;0.14052462577819824;0:00:144;0.0002891366893891245;0.5670430064201355;0.0;0.0;2;0.07381241023540497;0.07614435255527496;0.051978982985019684;0.04946034029126167
2;1749246587.5426145;2025-06-06;23;49;47;0.14052462577819824;0:00:279;0.000316744321025908;0.5712365508079529;0.0;0.0;2;0.07376670837402344;0.07619177550077438;0.0519523061811924;0.04947926849126816
3;1749246587.6781387;2025-06-06;23;49;47;0.13552427291870117;0:00:423;1.7129218578338623;0.5964516401290894;0.0;0.8069000244140625;2;0.049935050308704376;0.04819720238447189;1.133470892906189;1.132703185081482
4;1749246587.8136623;2025-06-06;23;49;47;0.13552355766296387;0:00:558;6.7450456619262695;0.6132257580757141;0.0;1.0;2;0.051428548991680145;0.04790505766868591;6.974110126495361;6.969883441925049
5;1749246587.9541872;2025-06-06;23;49;47;0.14052486419677734;0:00:696;11.799213409423828;0.6101074814796448;0.0;1.0;2;0.06123553216457367;0.06139500439167023;6.208521842956543;6.2009968757629395
6;1749246588.0947115;2025-06-06;23;49;48;0.14052438735961914;0:00:837;16.832902908325195;0.6583870649337769;0.0;1.0;2;0.06225385144352913;0.062350522726774216;4.307931900024414;4.294260025024414
7;1749246588.235236;2025-06-06;23;49;48;0.14052438735961914;0:00:975;22.151443481445312;0.7770429849624634;0.0;1.0;2;0.06035693734884262;0.06200432777404785;0.49352213740348816;0.4907243847846985
8;1749246588.3767605;2025-06-06;23;49;48;0.1415245532989502;0:01:116;24.941848754882812;0.8641934990882874;0.0;1.0;2;0.060435447841882706;0.06299559026956558;0.24273288249969482;0.24049732089042664
9;1749246588.5172856;2025-06-06;23;49;48;0.14052510261535645;0:01:263;28.655746459960938;1.0;0.0;1.0;2;0.06112590432167053;0.05801023542881012;0.2915211617946625;0.2903349995613098
10;1749246588.6578107;2025-06-06;23;49;48;0.14052510261535645;0:01:401;32.712650299072266;1.0;0.0;1.0;2;0.06197124347090721;0.060251232236623764;0.3342665433883667;0.3343183994293213
11;1749246588.8033357;2025-06-06;23;49;48;0.1455249786376953;0:01:545;37.262351989746094;1.0;0.0;1.0;2;0.06182380020618439;0.06268400698900223;0.33287352323532104;0.33346205949783325
12;1749246588.9438605;2025-06-06;23;49;48;0.14052486419677734;0:01:692;41.75593185424805;1.0;0.0;1.0;2;0.06269565969705582;0.0604257807135582;0.37631160020828247;0.3779335618019104
13;1749246589.0843844;2025-06-06;23;49;49;0.14052391052246094;0:01:827;46.50090408325195;1.0;0.0;1.0;2;0.06362904608249664;0.058961376547813416;0.32333290576934814;0.32724353671073914
14;1749246589.22491;2025-06-06;23;49;49;0.14052557945251465;0:01:965;51.11632537841797;1.0;0.0;1.0;2;0.06202439218759537;0.06062101945281029;0.4453808665275574;0.447761207818985
15;1749246589.3659341;2025-06-06;23;49;49;0.14102411270141602;0:02:109;56.187747955322266;1.0;0.0;1.0;2;0.0619712732732296;0.0633193850517273;0.412751168012619;0.41498908400535583
16;1749246589.5114596;2025-06-06;23;49;49;0.14552545547485352;0:02:256;61.7611198425293;1.0;0.0;1.0;2;0.061516959220170975;0.06448989361524582;0.4376925528049469;0.4389825463294983
17;1749246589.6519847;2025-06-06;23;49;49;0.14052510261535645;0:02:394;67.19751739501953;1.0;0.0;1.0;2;0.06457333266735077;0.05799039825797081;0.5616622567176819;0.5650565028190613
18;1749246589.7925098;2025-06-06;23;49;49;0.14052510261535645;0:02:538;72.84664154052734;1.0;0.0;1.0;2;0.06612394005060196;0.058024074882268906;0.6465867161750793;0.6493557691574097
19;1749246589.9335344;2025-06-06;23;49;49;0.14102458953857422;0:02:673;78.89031219482422;1.0;0.0;1.0;2;0.06397348642349243;0.05619353428483009;0.5038483738899231;0.5104178190231323
20;1749246590.0740588;2025-06-06;23;49;50;0.14052438735961914;0:02:820;84.44872283935547;1.0;0.0;1.0;2;0.06148083880543709;0.05671733617782593;0.534351646900177;0.5435419678688049
21;1749246590.2145834;2025-06-06;23;49;50;0.14052462577819824;0:02:958;90.30995178222656;1.0;0.0;1.0;2;0.06427735835313797;0.05415235087275505;0.4341137409210205;0.43824705481529236
22;1749246590.355108;2025-06-06;23;49;50;0.14052462577819824;0:03:096;95.64000701904297;1.0;0.0;1.0;2;0.07214929908514023;0.047860998660326004;0.46869856119155884;0.4739723801612854
