number;time;date;hour;minutes;seconds;delay;currentTime;speedKmh;throttle;brake;clutch;gear;FLwheelSlip;FRwheelSlip;RLwheelSlip;RRwheelSlip
0;1749246769.329012;2025-06-06;23;52;49;None;0:00:003;0.0002523727307561785;1.0;0.0;0.0;2;0.07214623689651489;0.07542245090007782;0.05126995965838432;0.048545729368925095
1;1749246769.4695363;2025-06-06;23;52;49;0.14052438735961914;0:00:138;0.0002910454059019685;1.0;0.0;0.0;2;0.07257411628961563;0.07499691843986511;0.051166050136089325;0.048649661242961884
2;1749246769.615062;2025-06-06;23;52;49;0.14552569389343262;0:00:282;0.0002913576317951083;1.0;0.0;0.0;2;0.07256559282541275;0.07500002533197403;0.05116910859942436;0.04865654185414314
3;1749246769.7555866;2025-06-06;23;52;49;0.14052462577819824;0:00:420;3.9515228271484375;1.0;0.0;1.0;2;0.020665403455495834;0.017894921824336052;5.436523914337158;5.432102203369141
4;1749246769.8961117;2025-06-06;23;52;49;0.14052510261535645;0:00:561;8.984174728393555;1.0;0.0;1.0;2;0.056345369666814804;0.055505845695734024;7.059966087341309;7.055035591125488
5;1749246770.0371358;2025-06-06;23;52;50;0.14102411270141602;0:00:705;14.073355674743652;1.0;0.0;1.0;2;0.06080020219087601;0.06074303388595581;6.736454010009766;6.724249839782715
6;1749246770.1776607;2025-06-06;23;52;50;0.14052486419677734;0:00:849;19.130264282226562;1.0;0.0;1.0;2;0.06037386506795883;0.0612633153796196;6.441535949707031;6.43019962310791
7;1749246770.318186;2025-06-06;23;52;50;0.14052534103393555;0:00:984;24.18654441833496;1.0;0.0;1.0;2;0.057373810559511185;0.06343351304531097;5.995097637176514;5.978756427764893
8;1749246770.4587097;2025-06-06;23;52;50;0.14052367210388184;0:01:131;29.264249801635742;1.0;0.0;1.0;2;0.05791904404759407;0.06356023997068405;5.614614009857178;5.600106239318848
9;1749246770.5992353;2025-06-06;23;52;50;0.14052557945251465;0:01:269;34.47441482543945;1.0;0.0;1.0;2;0.06435371935367584;0.05532708391547203;5.307273864746094;5.292496204376221
10;1749246770.7397587;2025-06-06;23;52;50;0.14052343368530273;0:01:413;39.426883697509766;1.0;0.0;1.0;2;0.09041579812765121;0.03146069869399071;4.836524486541748;4.843581676483154
11;1749246770.880284;2025-06-06;23;52;50;0.14052534103393555;0:01:554;44.71596145629883;1.0;0.0;1.0;2;0.07080580294132233;0.052012279629707336;4.255800724029541;4.293763637542725
12;1749246771.0158074;2025-06-06;23;52;51;0.13552331924438477;0:01:686;49.65583801269531;1.0;0.0;1.0;2;0.06475234776735306;0.05932529643177986;4.155697345733643;4.189606666564941
13;1749246771.1563327;2025-06-06;23;52;51;0.14052534103393555;0:01:821;55.05312728881836;1.0;0.0;1.0;2;0.05413711443543434;0.06731262803077698;3.557737350463867;3.586348533630371
14;1749246771.2968578;2025-06-06;23;52;51;0.14052510261535645;0:01:971;60.44589614868164;1.0;0.0;1.0;2;0.04899824038147926;0.07459450513124466;3.3136982917785645;3.3277463912963867
15;1749246771.4373817;2025-06-06;23;52;51;0.14052391052246094;0:02:106;65.72164154052734;1.0;0.0;1.0;2;0.07040679454803467;0.05480228736996651;2.8167598247528076;2.8169665336608887
16;1749246771.5779064;2025-06-06;23;52;51;0.14052462577819824;0:02:250;71.18250274658203;1.0;0.0;1.0;2;0.08518733829259872;0.034319620579481125;2.030524730682373;2.04730224609375
17;1749246771.718931;2025-06-06;23;52;51;0.14102458953857422;0:02:385;76.76046752929688;1.0;0.0;1.0;2;0.08125974982976913;0.03919762000441551;1.9005330801010132;1.926445722579956
18;1749246771.859456;2025-06-06;23;52;51;0.14052510261535645;0:02:529;82.78083038330078;1.0;0.0;1.0;2;0.09287472814321518;0.0273798406124115;1.5631707906723022;1.6039425134658813
19;1749246771.9949796;2025-06-06;23;52;51;0.13552355766296387;0:02:664;88.32256317138672;1.0;0.0;1.0;2;0.06702575087547302;0.052847880870103836;0.8991591334342957;0.9164735674858093
20;1749246772.1355045;2025-06-06;23;52;52;0.14052486419677734;0:02:808;93.82891845703125;1.0;0.0;1.0;2;0.045496199280023575;0.07486509531736374;0.47066530585289;0.43470045924186707
21;1749246772.2760286;2025-06-06;23;52;52;0.14052414894104004;0:02:943;99.00318908691406;1.0;0.0;1.0;2;0.026684438809752464;0.09712200611829758;0.4639299511909485;0.43728357553482056
