number;time;date;hour;minutes;seconds;delay;currentTime;speedKmh;throttle;brake;clutch;gear;FLwheelSlip;FRwheelSlip;RLwheelSlip;RRwheelSlip
0;1749313519.8732183;2025-06-07;18;25;19;None;0:00:009;0.0023828339762985706;0.6815053820610046;0.0;0.0;2;0.07039115577936172;0.06785587966442108;0.04268069192767143;0.03909134119749069
1;1749313520.0137432;2025-06-07;18;25;20;0.14052486419677734;0:00:132;0.0023831462021917105;0.679408609867096;0.0;0.0;2;0.07039619982242584;0.06786298006772995;0.04268699139356613;0.03908244147896767
2;1749313520.154267;2025-06-07;18;25;20;0.14052391052246094;0:00:270;0.002382448175922036;0.6825268864631653;0.0;0.0;2;0.0703958123922348;0.06785740703344345;0.04268234223127365;0.03908497467637062
3;1749313520.2947922;2025-06-07;18;25;20;0.14052510261535645;0:00:420;3.3762266635894775;0.5460214614868164;0.0;1.0;2;0.025291621685028076;0.022258905693888664;3.259263515472412;3.2590835094451904
4;1749313520.4353163;2025-06-07;18;25;20;0.14052414894104004;0:00:561;8.120487213134766;0.5397312045097351;0.0;1.0;2;0.05074223875999451;0.046145711094141006;7.095506191253662;7.1019287109375
5;1749313520.575841;2025-06-07;18;25;20;0.14052462577819824;0:00:702;12.9533109664917;0.5701612830162048;0.0;1.0;2;0.055091291666030884;0.04755806922912598;6.072817325592041;6.086943626403809
6;1749313520.716366;2025-06-07;18;25;20;0.14052510261535645;0:00:852;17.736177444458008;0.6279569864273071;0.0;1.0;2;0.0565795861184597;0.04912835359573364;4.368915557861328;4.388622283935547
7;1749313520.8618908;2025-06-07;18;25;20;0.1455247402191162;0:00:987;22.98462677001953;0.7403225898742676;0.0;1.0;2;0.05705057829618454;0.043456271290779114;1.2750580310821533;1.2978590726852417
8;1749313521.0024161;2025-06-07;18;25;21;0.14052534103393555;0:01:122;26.892568588256836;1.0;0.0;1.0;2;0.05580494925379753;0.05028611794114113;0.35706621408462524;0.36369121074676514
9;1749313521.14294;2025-06-07;18;25;21;0.14052391052246094;0:01:266;31.235612869262695;1.0;0.0;1.0;2;0.057716552168130875;0.049614693969488144;0.34805208444595337;0.3518625795841217
10;1749313521.2834644;2025-06-07;18;25;21;0.14052438735961914;0:01:416;35.75909423828125;1.0;0.0;1.0;2;0.055220991373062134;0.05059938132762909;0.34136733412742615;0.34400367736816406
11;1749313521.4239895;2025-06-07;18;25;21;0.14052510261535645;0:01:554;40.520198822021484;1.0;0.0;1.0;2;0.05877191200852394;0.04993253946304321;0.39235758781433105;0.39479273557662964
12;1749313521.5650136;2025-06-07;18;25;21;0.14102411270141602;0:01:692;45.41474151611328;1.0;0.0;1.0;2;0.05752462521195412;0.035105857998132706;0.4742102324962616;0.475313276052475
13;1749313521.7055383;2025-06-07;18;25;21;0.14052462577819824;0:01:839;50.52127456665039;1.0;0.0;1.0;2;0.05439417064189911;0.05199354141950607;0.5060551762580872;0.5041792988777161
14;1749313521.846563;2025-06-07;18;25;21;0.14102482795715332;0:01:974;55.84469985961914;1.0;0.0;1.0;2;0.04758166894316673;0.049973830580711365;0.6617804169654846;0.6627838015556335
15;1749313521.9870877;2025-06-07;18;25;21;0.14052462577819824;0:02:121;61.32200241088867;1.0;0.0;1.0;2;0.05627179145812988;0.0479612872004509;0.8575775623321533;0.8623191714286804
16;1749313522.1276124;2025-06-07;18;25;22;0.14052462577819824;0:02:253;66.87152862548828;1.0;0.0;1.0;2;0.06168244779109955;0.048433635383844376;1.2577860355377197;1.266984462738037
17;1749313522.2681375;2025-06-07;18;25;22;0.14052510261535645;0:02:400;72.29629516601562;1.0;0.0;1.0;2;0.06466085463762283;0.046130888164043427;1.651829481124878;1.6561752557754517
18;1749313522.4086618;2025-06-07;18;25;22;0.14052438735961914;0:02:544;77.59294891357422;1.0;0.0;1.0;2;0.06453584134578705;0.04420320317149162;1.8461816310882568;1.8550059795379639
19;1749313522.5491865;2025-06-07;18;25;22;0.14052462577819824;0:02:685;83.0319595336914;1.0;0.0;1.0;2;0.06533993780612946;0.04124899208545685;1.11127507686615;1.126842737197876
20;1749313522.689711;2025-06-07;18;25;22;0.14052462577819824;0:02:817;84.57757568359375;1.0;0.0;1.0;3;0.06940910965204239;0.04671642184257507;1.9847890138626099;1.9865177869796753
21;1749313522.8302348;2025-06-07;18;25;22;0.14052367210388184;0:02:961;90.13252258300781;1.0;0.0;1.0;3;0.05622662231326103;0.05828309431672096;1.3923052549362183;1.3932251930236816
22;1749313522.9707596;2025-06-07;18;25;22;0.14052486419677734;0:03:093;95.79999542236328;1.0;0.0;1.0;3;0.04811529815196991;0.05787580460309982;0.6700316071510315;0.6651981472969055
