number;time;date;hour;minutes;seconds;delay;currentTime;speedKmh;throttle;brake;clutch;gear;FLwheelSlip;FRwheelSlip;RLwheelSlip;RRwheelSlip
0;1749411664.0736012;2025-06-08;21;41;4;None;0:00:009;0.001929598511196673;1.0;0.0;1.0;1;0.06873782724142075;0.03205184265971184;0.06174151226878166;0.025052666664123535
1;1749411664.1796198;2025-06-08;21;41;4;0.1060185432434082;0:00:108;0.005100056994706392;1.0;0.0;1.0;1;0.06522633880376816;0.03490079939365387;0.05846834182739258;0.028155168518424034
2;1749411664.3151429;2025-06-08;21;41;4;0.13552308082580566;0:00:252;0.0029798478353768587;1.0;0.0;1.0;1;0.06793501228094101;0.03285225108265877;0.061518847942352295;0.02523582987487316
3;1749411664.4556675;2025-06-08;21;41;4;0.14052462577819824;0:00:384;0.003099642926827073;1.0;0.0;1.0;1;0.06807731837034225;0.03234275430440903;0.06146935001015663;0.025283165276050568
4;1749411664.5891907;2025-06-08;21;41;4;0.13352322578430176;0:00:513;2.8995227813720703;0.6499999761581421;0.0;1.0;2;0.04778050258755684;0.12924844026565552;7.478854179382324;7.477463245391846
5;1749411664.7297163;2025-06-08;21;41;4;0.14052557945251465;0:00:663;6.602660655975342;0.6499999761581421;0.0;1.0;2;0.015992317348718643;0.016867857426404953;89.87862396240234;90.5639877319336
6;1749411664.8707397;2025-06-08;21;41;4;0.1410233974456787;0:00:798;9.77099323272705;0.6499999761581421;0.0;1.0;2;0.048496633768081665;0.03710898384451866;56.71951675415039;57.23990249633789
7;1749411665.0112646;2025-06-08;21;41;5;0.14052486419677734;0:00:945;13.163352966308594;0.6499999761581421;0.0;1.0;2;0.05407817289233208;0.03839116171002388;35.86540603637695;36.23518371582031
8;1749411665.151789;2025-06-08;21;41;5;0.14052438735961914;0:01:089;16.59454345703125;0.6499999761581421;0.0;1.0;2;0.0540386438369751;0.03789437189698219;24.073257446289062;24.369449615478516
9;1749411665.2923138;2025-06-08;21;41;5;0.14052486419677734;0:01:218;20.15983772277832;0.6499999761581421;0.0;1.0;2;0.020076928660273552;0.10716947913169861;15.89218807220459;16.144351959228516
10;1749411665.422837;2025-06-08;21;41;5;0.1305232048034668;0:01:353;23.60711097717285;0.6499999761581421;0.0;1.0;2;0.12800732254981995;0.00827724952250719;10.490889549255371;9.805564880371094
11;1749411665.5633612;2025-06-08;21;41;5;0.14052414894104004;0:01:491;27.566970825195312;0.6499999761581421;0.0;1.0;2;0.09544619172811508;0.19079679250717163;4.533265113830566;4.570846080780029
12;1749411665.7038853;2025-06-08;21;41;5;0.14052414894104004;0:01:644;31.523290634155273;0.8900004625320435;0.0;1.0;2;0.08528418093919754;0.01909472420811653;0.2665567398071289;0.2378535121679306
