2025-06-07 | 17:59:05 | spa | rss_formula_rss_3_v6 | 0.303 | 3.2045602798461914 
2025-06-07 | 18:06:54 | spa | rss_formula_rss_3_v6 | 0.32 | 3.2905757427215576 
2025-06-07 | 18:08:19 | spa | rss_formula_rss_3_v6 | 0.381 | 3.35408616065979 
2025-06-07 | 18:09:41 | spa | rss_formula_rss_3_v6 | 0.33 | 3.1895573139190674 
2025-06-07 | 18:12:22 | spa | rss_formula_rss_3_v6 | 0.31 | 3.158052921295166 
2025-06-07 | 18:13:15 | spa | rss_formula_rss_3_v6 | 0.341 | 3.365588903427124 
2025-06-07 | 18:15:38 | spa | rss_formula_rss_3_v6 | 0.291 | 3.306579113006592 
2025-06-07 | 18:24:22 | spa | rss_formula_rss_3_v6 | 0.389 | Braked 
2025-06-07 | 18:25:23 | spa | rss_formula_rss_3_v6 | 0.31 | 3.214061737060547 
2025-06-07 | 18:26:25 | spa | rss_formula_rss_3_v6 | 0.348 | 3.1145448684692383 
2025-06-07 | 18:26:48 | spa | rss_formula_rss_3_v6 | 0.474 | 3.41159725189209 
2025-06-07 | 18:27:16 | spa | rss_formula_rss_3_v6 | 0.365 | 3.212562084197998 
2025-06-07 | 18:27:43 | spa | rss_formula_rss_3_v6 | 0.346 | 3.232564687728882 
2025-06-07 | 18:51:29 | imola | rss_formula_rss_3_v6 | 0.405 | 3.720651149749756 
2025-06-07 | 18:52:08 | imola | rss_formula_rss_3_v6 | 0.348 | 3.0365309715270996 
2025-06-07 | 18:52:46 | imola | rss_formula_rss_3_v6 | 0.432 | 3.639636516571045 
